chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene	Feature_type	Feature_type2	Feature_type3	Feature_type4	Feature_type5	Feature_type6	Feature_type7	Feature_type8	Feature_type9	Feature_type10	Feature_type11
1	112577531	LOC112577531						biological-region	enhancer										
1	112577532	LOC112577532						biological-region	enhancer										
1	112577533	LOC112577533						biological-region	enhancer										
1	112577534	LOC112577534						biological-region	enhancer										
1	112577535	LOC112577535						biological-region	enhancer										
1	112577536	LOC112577536						biological-region	enhancer										
1	112577537	LOC112577537						biological-region	enhancer										
1	112577538	LOC112577538						biological-region	enhancer										
1	112577542	LOC112577542						biological-region	enhancer										
1	112577543	LOC112577543						biological-region	enhancer	silencer									
1	112577544	LOC112577544						biological-region	enhancer										
1	112577545	LOC112577545						biological-region	enhancer										
1	112577546	LOC112577546						biological-region	enhancer										
1	112577547	LOC112577547						biological-region	enhancer										
1	112577548	LOC112577548						biological-region	enhancer										
1	112577550	LOC112577550						biological-region	enhancer										
1	112577552	LOC112577552						biological-region	enhancer										
1	112577554	LOC112577554						biological-region	enhancer										
1	112577555	LOC112577555						biological-region	enhancer	silencer									
1	112577556	LOC112577556						biological-region	enhancer										
1	112577557	LOC112577557						biological-region	enhancer										
1	112577558	LOC112577558						biological-region	enhancer										
1	112577559	LOC112577559						biological-region	enhancer										
1	112577560	LOC112577560						biological-region	enhancer										
1	112577561	LOC112577561						biological-region	enhancer										
1	112577563	LOC112577563						biological-region	enhancer										
1	112577564	LOC112577564						biological-region	enhancer										
1	112577565	LOC112577565						biological-region	enhancer										
1	112577566	LOC112577566						biological-region	enhancer										
1	112577567	LOC112577567						biological-region	enhancer										
1	112577568	LOC112577568						biological-region	enhancer										
1	112577569	LOC112577569						biological-region	enhancer										
1	112577570	LOC112577570						biological-region	enhancer										
1	112577571	LOC112577571						biological-region	enhancer										
1	112577572	LOC112577572						biological-region	enhancer										
1	112577573	LOC112577573						biological-region	enhancer										
1	112577574	LOC112577574						biological-region	enhancer										
1	112577575	LOC112577575						biological-region	enhancer										
1	112577576	LOC112577576						biological-region	enhancer										
1	112577577	LOC112577577						biological-region	enhancer										
1	112577578	LOC112577578						biological-region	enhancer										
1	112577579	LOC112577579						biological-region	enhancer										
1	112577581	LOC112577581						biological-region	enhancer										
1	112577582	LOC112577582						biological-region	enhancer										
1	112577583	LOC112577583						biological-region	enhancer										
1	112577584	LOC112577584						biological-region	enhancer										
1	112577585	LOC112577585						biological-region	enhancer										
1	112577586	LOC112577586						biological-region	enhancer										
1	112577587	LOC112577587						biological-region	enhancer										
1	112577588	LOC112577588						biological-region	enhancer										
1	112577589	LOC112577589						biological-region	enhancer										
1	112577590	LOC112577590						biological-region	enhancer										
1	112577591	LOC112577591						biological-region	enhancer										
1	112577594	LOC112577594						biological-region	enhancer										
1	112577595	LOC112577595						biological-region	enhancer	silencer									
1	112577596	LOC112577596						biological-region	enhancer										
1	112577597	LOC112577597						biological-region	enhancer										
1	112577598	LOC112577598						biological-region	enhancer										
1	112577599	LOC112577599						biological-region	enhancer										
1	112590790	LOC112590790						biological-region	enhancer										
1	112590791	LOC112590791						biological-region	enhancer										
1	112590792	LOC112590792						biological-region	enhancer										
1	112590793	LOC112590793						biological-region	enhancer										
1	112590794	LOC112590794						biological-region	enhancer										
1	112590795	LOC112590795						biological-region	enhancer										
1	112590799	LOC112590799						biological-region	enhancer										
1	112590800	LOC112590800						biological-region	enhancer										
1	112590801	LOC112590801						biological-region	enhancer										
1	112590802	LOC112590802						biological-region	enhancer										
1	112590803	LOC112590803						biological-region	enhancer										
1	112590804	LOC112590804						biological-region	enhancer	silencer									
1	112590805	LOC112590805						biological-region	enhancer										
1	112590806	LOC112590806						biological-region	enhancer										
1	112590807	LOC112590807						biological-region	enhancer										
1	112590808	LOC112590808						biological-region	enhancer										
1	112590809	LOC112590809						biological-region	enhancer										
1	112590810	LOC112590810						biological-region	enhancer										
1	112590812	LOC112590812						biological-region	enhancer										
1	112590813	LOC112590813						biological-region	enhancer	silencer									
1	112590814	LOC112590814						biological-region	enhancer										
1	112590815	LOC112590815						biological-region	enhancer										
1	112590816	LOC112590816						biological-region	enhancer										
1	112590817	LOC112590817						biological-region	enhancer										
1	112590818	LOC112590818						biological-region	enhancer										
1	112590819	LOC112590819						biological-region	enhancer										
1	112590820	LOC112590820						biological-region	enhancer										
1	112590821	LOC112590821						biological-region	enhancer										
1	112590822	LOC112590822						biological-region	enhancer										
1	112590823	LOC112590823						biological-region	enhancer										
1	112590824	LOC112590824						biological-region	enhancer										
1	112590825	LOC112590825						biological-region	enhancer	silencer									
1	112590826	LOC112590826						biological-region	enhancer										
1	112590827	LOC112590827						biological-region	enhancer										
1	112590828	LOC112590828						biological-region	enhancer										
1	113939977	LOC113939977						biological-region	silencer										
1	113939978	LOC113939978						biological-region	silencer										
1	113939979	LOC113939979						biological-region	silencer										
1	113939980	LOC113939980						biological-region	silencer										
1	113939981	LOC113939981						biological-region	silencer										
1	113939983	LOC113939983						biological-region	silencer										
1	113939984	LOC113939984						biological-region	silencer										
1	113939986	LOC113939986						biological-region	silencer										
1	113939987	LOC113939987						biological-region	silencer										
1	113939988	LOC113939988						biological-region	silencer										
1	113939989	LOC113939989						biological-region	silencer										
1	114803468	LOC114803468						biological-region	enhancer										
1	114827827	LOC114827827						biological-region	enhancer										
1	114827844	LOC114827844						biological-region	enhancer										
1	114827846	LOC114827846						biological-region	enhancer										
1	115801415	LOC115801415						biological-region	transcriptional_cis_regulatory_region										
1	115801416	LOC115801416						biological-region	transcriptional_cis_regulatory_region										
1	115801417	LOC115801417						biological-region	transcriptional_cis_regulatory_region										
1	115801418	LOC115801418						biological-region	transcriptional_cis_regulatory_region										
1	115801419	LOC115801419						biological-region	transcriptional_cis_regulatory_region										
1	115801420	LOC115801420						biological-region	transcriptional_cis_regulatory_region										
1	115801421	LOC115801421						biological-region	transcriptional_cis_regulatory_region										
1	115801422	LOC115801422						biological-region	transcriptional_cis_regulatory_region										
1	115801423	LOC115801423						biological-region	transcriptional_cis_regulatory_region										
1	115801424	LOC115801424						biological-region	transcriptional_cis_regulatory_region										
1	115801425	LOC115801425						biological-region	transcriptional_cis_regulatory_region										
